#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2000,1.9999999999998905,-279794.7949613776,2257.5029296875,-277537.2920316901,282.3870971080283,0
3000,2.9999999999997806,-279574.54578696284,2323.00537109375,-277251.5404158691,290.5806830560032,1.5
4000,3.9999999999996705,-279617.57763614756,2323.49072265625,-277294.0869134913,290.6413948349377,1.5
5000,5.000000000000004,-279618.9714076182,2480.2216796875,-277138.7497279307,310.2465964056592,1.51
6000,6.000000000000338,-279595.1167258725,2254.50244140625,-277340.61428446625,282.0117712714562,1.51
7000,7.000000000000672,-279594.5489529883,2289.74658203125,-277304.80237095704,286.4203992427779,1.51
8000,8.000000000001005,-279613.5038430239,2353.607666015625,-277259.8961770083,294.4086706586719,1.51
9000,9.000000000000451,-279703.8595471982,2349.37060546875,-277354.4889417295,293.8786641579633,1.51
10000,9.999999999999897,-279716.2171254609,2422.674072265625,-277293.5430531953,303.0480667419014,1.51
