#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
101000,101.0000000001182,-279911.5283715405,2482.70849609375,-277428.81987544673,310.5576679248881,0
102000,102.00000000012298,-279753.988556531,2454.428466796875,-277299.56008973415,307.02016847172905,1.44
103000,103.00000000012776,-279837.91985671857,2370.89013671875,-277467.0297199998,296.5705047225531,1.44
104000,104.00000000013253,-279760.6865889947,2408.62353515625,-277352.06305383844,301.29050960434574,1.44
105000,105.0000000001373,-279832.92379025643,2472.731689453125,-277360.1921008033,309.30968661394286,1.44
106000,106.00000000014208,-279842.89595678105,2494.6025390625,-277348.29341771855,312.0454729782744,1.44
107000,107.00000000014685,-279830.21626024874,2389.3056640625,-277440.91059618624,298.87407086190467,1.44
108000,108.00000000015163,-279777.0406720934,2375.572265625,-277401.4684064684,297.15618404670107,1.44
109000,109.0000000001564,-279855.6675846199,2443.78466796875,-277411.88291665114,305.6887542734351,1.44
110000,110.00000000016118,-279894.6927219502,2332.939453125,-277561.7532688252,291.82332002021127,1.44
111000,111.00000000016595,-279932.777308331,2369.688232421875,-277563.0890759091,296.42016061405474,1.44
112000,112.00000000017073,-279776.1494472205,2214.724365234375,-277561.4250819861,277.0360012243836,1.44
113000,113.0000000001755,-279826.1130762555,2475.58935546875,-277350.52372078673,309.6671470628506,1.44
114000,114.00000000018028,-279859.64380377537,2507.322998046875,-277352.3208057285,313.6366529671202,1.44
115000,115.00000000018505,-279737.8344194882,2436.000244140625,-277301.8341753476,304.7150142979184,1.45
116000,116.00000000018983,-279950.8210170393,2453.244384765625,-277497.5766322737,306.87205371929826,1.45
117000,117.0000000001946,-279769.25314279826,2466.791015625,-277302.46212717326,308.5665781044792,1.45
118000,118.00000000019938,-279856.4314654324,2525.80224609375,-277330.62921933865,315.9481898178912,1.45
119000,119.00000000020415,-279786.8444470115,2380.23388671875,-277406.6105602927,297.7392980844152,1.46
120000,120.00000000020893,-279882.2942225071,2364.305908203125,-277517.988314304,295.7468950816652,1.46
121000,121.0000000002137,-279888.6357986526,2452.091796875,-277436.5440017776,306.72787851389086,1.46
122000,122.00000000021848,-279953.5016493779,2419.29052734375,-277534.2111220342,302.6248250194398,1.46
123000,123.00000000022325,-279934.9650131886,2342.531494140625,-277592.433519048,293.02317167139756,1.46
124000,124.00000000022803,-279837.8689085586,2445.0244140625,-277392.8444944961,305.84383194618636,1.46
125000,125.0000000002328,-279899.2248907702,2434.515869140625,-277464.7090216296,304.5293364227062,1.46
126000,126.00000000023758,-279899.7818232013,2408.20703125,-277491.5747919513,301.2384098584391,1.46
127000,127.00000000024235,-279903.0319681117,2365.066162109375,-277537.9658060023,295.84199391446305,1.47
128000,128.00000000024713,-279812.3783552447,2461.2255859375,-277351.1527693072,307.8704082289303,1.47
129000,129.0000000002519,-279842.675522029,2395.14453125,-277447.530990779,299.60444455657165,1.47
130000,130.00000000025668,-279800.8867213333,2403.078857421875,-277397.80786391144,300.59693555435484,1.47
131000,131.00000000026145,-279791.7709614387,2396.57080078125,-277395.20016065746,299.78285412022126,1.47
132000,132.00000000026623,-279900.5600166104,2397.20849609375,-277503.3515205167,299.8626223126644,1.47
133000,133.000000000271,-279860.07225503976,2395.98291015625,-277464.0893448835,299.7093159091175,1.47
134000,134.00000000027578,-279888.42374842823,2510.341796875,-277378.08195155323,314.0142692380082,1.47
135000,135.00000000028055,-279827.83735349134,2487.3505859375,-277340.48676755384,311.1383388326653,1.47
136000,136.00000000028533,-279860.8283405008,2317.97607421875,-277542.8522662821,289.95157709722497,1.47
137000,137.0000000002901,-279867.32842033124,2468.00341796875,-277399.3250023625,308.7182353953187,1.47
138000,138.00000000029488,-279934.13265211426,2296.6640625,-277637.46858961426,287.28569478821584,1.47
139000,139.00000000029965,-280044.98761703825,2447.327880859375,-277597.6597361789,306.13196858313165,1.48
140000,140.00000000030442,-279953.2302071031,2488.595703125,-277464.6345039781,311.2940883661492,1.48
141000,141.0000000003092,-279760.9423202588,2357.3232421875,-277403.6190780713,294.87344559006243,1.48
142000,142.00000000031397,-279909.626206021,2434.13818359375,-277475.48802242725,304.4820923975494,1.48
143000,143.00000000031875,-279709.7611658643,2471.16162109375,-277238.59954477055,309.11328950613205,1.48
144000,144.00000000032352,-279745.2920891719,2433.16455078125,-277312.12753839063,304.36030237018986,1.48
145000,145.0000000003283,-279805.58971066,2331.06689453125,-277474.52281612874,291.5890849375011,1.48
146000,146.00000000033307,-279888.282300815,2371.47705078125,-277516.80525003374,296.64392077716,1.48
147000,147.00000000033785,-279842.0433131648,2480.0537109375,-277361.9896022273,310.225585488201,1.48
148000,148.00000000034262,-279767.5812908816,2563.673828125,-277203.9074627566,320.68547984398816,1.48
149000,149.0000000003474,-279718.5156099729,2474.96142578125,-277243.5541841916,309.58860043537595,1.48
150000,150.00000000035217,-279832.22787439806,2402.538330078125,-277429.68954431993,300.5293219333483,1.48
151000,151.00000000035695,-279768.16427803657,2381.92626953125,-277386.2380085053,297.9509952934565,1.48
152000,152.00000000036172,-279923.2423549383,2496.369873046875,-277426.8724818914,312.26654569844897,1.48
153000,153.0000000003665,-279944.7459745358,2413.03857421875,-277531.7074003171,301.84277912660525,1.49
154000,154.00000000037127,-279838.6735081759,2277.431884765625,-277561.24162341026,284.87997527837337,1.49
155000,155.00000000037605,-279836.7200677429,2306.6015625,-277530.1185052429,288.5287593001629,1.49
156000,156.00000000038082,-280009.37775160396,2344.507080078125,-277664.87067152583,293.2702942645254,1.49
157000,157.0000000003856,-280011.7920032439,2484.301025390625,-277527.4909778533,310.7568746321265,1.49
158000,158.00000000039037,-279781.7326167478,2377.830810546875,-277403.9018062009,297.43870148479124,1.49
159000,159.00000000039515,-279785.595073315,2223.93310546875,-277561.6619678463,278.18790645055617,1.49
160000,160.00000000039992,-279927.944324028,2397.63671875,-277530.307605278,299.91618793653316,1.49
161000,161.0000000004047,-279905.03594286076,2443.7568359375,-277461.27910692326,305.6852728132749,1.49
162000,162.00000000040947,-279779.8722822661,2253.544921875,-277526.3273603911,281.8919968262947,1.49
163000,163.00000000041425,-279983.91469754506,2423.40185546875,-277560.5128420763,303.1391038711789,1.49
164000,164.00000000041902,-279922.1435846927,2438.459716796875,-277483.6838678958,305.02266543523547,1.49
165000,165.0000000004238,-279843.1266981282,2448.626708984375,-277394.4999891438,306.29443672394234,1.49
166000,166.00000000042857,-279919.886141605,2412.47119140625,-277507.4149501987,301.7718062019353,1.49
167000,167.00000000043335,-279891.93618240196,2497.76904296875,-277394.1671394332,312.441565419311,1.49
168000,168.00000000043812,-279865.2637680064,2229.093505859375,-277636.17026214703,278.8334119190366,1.49
169000,169.0000000004429,-279986.5306082609,2260.269775390625,-277726.26083287026,282.73319700272896,1.49
