#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,1.0000000000000007,-815832.8425988401,35978.796875,-779854.0457238401,243.24084495559993,0
2000,1.9999999999998905,-810589.1180012594,41488.1640625,-769100.9539387594,280.48786948824437,0.0734
3000,2.9999999999997806,-808695.1175467218,43172.0625,-765523.0550467218,291.8721545208971,0.0734
4000,3.9999999999996705,-808609.5720919371,44144.03125,-764465.5408419371,298.4433164427877,0.0735
5000,5.000000000000004,-808305.4256075912,44700.9921875,-763604.4334200912,302.2087466631323,0.0736
6000,6.000000000000338,-808588.4106784551,44563.515625,-764024.8950534551,301.2793127151248,0.0737
7000,7.000000000000672,-809136.2450179369,45138.328125,-763997.9168929369,305.16543149438263,0.0738
8000,8.000000000001005,-810641.7638545663,45594.21875,-765047.5451045663,308.2475584820526,0.0739
9000,9.000000000000451,-811392.9214268269,45207.7890625,-766185.1323643269,305.635034110268,0.0739
